Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Bhupal Todi,"S r g P d S' - S' d P g r S ,d r S","S ,d S r g ; d P g r g r S;",Dhaivat - Gandhar,6AM to 9AM,S-r-g-P-d-S,S r G~ P D S | S D~ P~ G r~ S,Karuna
Bihag,"S G m P N S' - S' N DP M P G m G RS, S' N D P M G m G R S",",N S G ; G m G ; P M P G m G ; P M G m G R S;",Gandhar - Nishad,9PM to 12AM,S-R-G-mM-P-D-N-S,S G~ M P N~ S | S N D P~ M G R S,Shringar
Bihagda,S G m P N S' - S' N (D)P ; P D n D P ; G m G ; P m G (R) S;,S G m P ; m P G (R) S; G m n D P ; G m G ; G m P N S' ; S' N P ; D n D P ; G m G ; mP mP G (R) S;,Gandhar - Shuddha Nishad,9PM to 12AM,S-R-G-m-P-D-nN-S,S R G~ M P~ N S | S N D~ P M~ G R S,Hasya
Bilaskhani Todi,S r g P d S' - S' r' n d ; P ; P d n d m g r ; r g r S,"S r ,n ,d S ; S r g ; r g P ; P d n d ; d m g r ; g r S ;",Dhaivat - Gandhar,9AM to 12PM,S-r-g-m-P-d-n-S,S r~ G M~ D~ N S | S N~ D M~ G r S,Karuna
Chandrakauns,"S g m d N S' - S' N d m g m g S ,N S","S g m g S ,N ; ,N S ; g m d N S'; N d S' ; N d m g m g S ,N S;",Madhyam - Shadj,9PM to 12AM,S-g-m-d-N-S,S M~ G R~ G M D~ N S | S N D P~ M G~ R S,Adbhuta
Charukeshi,"S R G m P d n S' - S' n d P m G R S ,d ,n S",",d ,n S R G m G R ; R G m d P ; R G m R S ;",Madhyam - Shadj,9AM to 12PM,S-R-G-m-P-d-n-S,S R~ G~ M P~ D N S | S N~ D P M G~ R S,Karuna
Chhayanut,S R G R ; G P m G R S ; S R G m P D N S' - S' N D P M P D P ; R G m P m G R S,",P R R ; R G m P ; G m R S ; S' P R G ; m G m R S R S;",Pancham - Rishabh,9PM to 12AM,S-R-G-mM-P-D-N-S,S R G~ M P~ N D S | S D N P M G~ R S,Hasya
Darbari Kanada,S R g m P d n S' - S' d n P m P g m R S,"S R g (R)g ; m P d (P)d n P ; n m P S' ; S' (n)d n P m P (m)g m R S ; ,d ,n S;",Rishabh - Pancham,12AM to 3AM,S-R-g-m-P-d-n-S,S R~ G M~ P D~ N S | S N D~ P M~ G R~ S,Raudra
Des,"S R m P N S' - S' n D P D m G R G ,N S","D s m G R; G ,N s S; R m P N; S' R' n D P;",Rishabh - Pancham,9PM to 12AM,S-R-G-m-P-D-nN-S,S R M~ P~ D N~ S | S N~ D P M R S,Hasya
Deshkar,S R G P D S' - S' D P D G P G R S,"S R G P D ; D G P ; S' D ; P D G P ; G R S ; ,D S;",Dhaivat - Gandhar,6AM to 9AM,S-R-G-P-D-S,S R~ G P D S | S D~ P G~ R S,Veera
